portfolio_name,date,ticker,position
종합설계,2022-01-27,AAPL,48.0
종합설계,2022-01-27,AMZN,30.0
종합설계,2022-01-27,MSFT,13.0
종합설계,2022-01-27,NVDA,347.0
종합설계,2022-02-03,AAPL,64.0
종합설계,2022-02-03,AMZN,35.0
종합설계,2022-02-03,MSFT,17.0
종합설계,2022-02-03,NVDA,445.0
종합설계,2022-03-02,AAPL,66.0
종합설계,2022-03-02,AMZN,35.0
종합설계,2022-03-02,MSFT,18.0
종합설계,2022-03-02,NVDA,435.0
종합설계,2022-04-01,AAPL,68.0
종합설계,2022-04-01,AMZN,43.0
종합설계,2022-04-01,MSFT,18.0
종합설계,2022-04-01,NVDA,550.0
종합설계,2022-05-02,AAPL,73.0
종합설계,2022-05-02,AMZN,44.0
종합설계,2022-05-02,MSFT,20.0
종합설계,2022-05-02,NVDA,569.0
종합설계,2022-06-02,AAPL,76.0
종합설계,2022-06-02,AMZN,48.0
종합설계,2022-06-02,MSFT,20.0
종합설계,2022-06-02,NVDA,730.0
종합설계,2022-07-01,AAPL,70.0
종합설계,2022-07-01,AMZN,42.0
종합설계,2022-07-01,MSFT,20.0
종합설계,2022-07-01,NVDA,621.0
종합설계,2022-08-01,AAPL,66.0
종합설계,2022-08-01,AMZN,40.0
종합설계,2022-08-01,MSFT,20.0
종합설계,2022-08-01,NVDA,751.0
종합설계,2022-09-01,AAPL,67.0
종합설계,2022-09-01,AMZN,40.0
종합설계,2022-09-01,MSFT,19.0
종합설계,2022-09-01,NVDA,752.0
종합설계,2022-10-04,AAPL,65.0
종합설계,2022-10-04,AMZN,50.0
종합설계,2022-10-04,MSFT,21.0
종합설계,2022-10-04,NVDA,728.0
종합설계,2022-11-01,AAPL,74.0
종합설계,2022-11-01,AMZN,57.0
종합설계,2022-11-01,MSFT,21.0
종합설계,2022-11-01,NVDA,643.0
종합설계,2022-12-01,AAPL,83.0
종합설계,2022-12-01,AMZN,64.0
종합설계,2022-12-01,MSFT,22.0
종합설계,2022-12-01,NVDA,740.0
종합설계,2023-01-02,AAPL,83.0
종합설계,2023-01-02,AMZN,57.0
종합설계,2023-01-02,MSFT,23.0
종합설계,2023-01-02,NVDA,577.0
종합설계,2023-02-01,AAPL,77.0
종합설계,2023-02-01,AMZN,61.0
종합설계,2023-02-01,MSFT,22.0
종합설계,2023-02-01,NVDA,485.0
종합설계,2023-03-02,AAPL,69.0
종합설계,2023-03-02,AMZN,56.0
종합설계,2023-03-02,MSFT,20.0
종합설계,2023-03-02,NVDA,413.0
종합설계,2023-04-03,AAPL,65.0
종합설계,2023-04-03,AMZN,52.0
종합설계,2023-04-03,MSFT,17.0
종합설계,2023-04-03,NVDA,388.0
종합설계,2023-05-02,AAPL,63.0
종합설계,2023-05-02,AMZN,46.0
종합설계,2023-05-02,MSFT,17.0
종합설계,2023-05-02,NVDA,288.0
종합설계,2023-06-01,AAPL,58.0
종합설계,2023-06-01,AMZN,43.0
종합설계,2023-06-01,MSFT,16.0
종합설계,2023-06-01,NVDA,264.0
종합설계,2023-07-03,AAPL,57.0
종합설계,2023-07-03,AMZN,42.0
종합설계,2023-07-03,MSFT,16.0
종합설계,2023-07-03,NVDA,242.0
종합설계,2023-08-01,AAPL,57.0
종합설계,2023-08-01,AMZN,39.0
종합설계,2023-08-01,MSFT,16.0
종합설계,2023-08-01,NVDA,224.0
종합설계,2023-09-01,AAPL,59.0
종합설계,2023-09-01,AMZN,40.0
종합설계,2023-09-01,MSFT,16.0
종합설계,2023-09-01,NVDA,234.0
종합설계,2023-10-04,AAPL,60.0
종합설계,2023-10-04,AMZN,38.0
종합설계,2023-10-04,MSFT,15.0
종합설계,2023-10-04,NVDA,248.0
종합설계,2023-11-01,AAPL,58.0
종합설계,2023-11-01,AMZN,37.0
종합설계,2023-11-01,MSFT,14.0
종합설계,2023-11-01,NVDA,238.0
종합설계,2023-12-01,AAPL,59.0
종합설계,2023-12-01,AMZN,36.0
