portfolio_name,date,ticker,position
테스트3,2019-12-13,AAPL,31.0
테스트3,2019-12-13,AMZN,8.0
테스트3,2019-12-13,MSFT,14.0
테스트3,2019-12-13,NVDA,265.0
테스트3,2020-01-02,AAPL,32.0
테스트3,2020-01-02,AMZN,8.0
테스트3,2020-01-02,MSFT,14.0
테스트3,2020-01-02,NVDA,277.0
테스트3,2020-02-03,AAPL,33.0
테스트3,2020-02-03,AMZN,8.0
테스트3,2020-02-03,MSFT,14.0
테스트3,2020-02-03,NVDA,241.0
테스트3,2020-03-02,AAPL,40.0
테스트3,2020-03-02,AMZN,8.0
테스트3,2020-03-02,MSFT,16.0
테스트3,2020-03-02,NVDA,267.0
테스트3,2020-04-01,AAPL,33.0
테스트3,2020-04-01,AMZN,7.0
테스트3,2020-04-01,MSFT,13.0
테스트3,2020-04-01,NVDA,227.0
테스트3,2020-05-04,AAPL,30.0
테스트3,2020-05-04,AMZN,6.0
테스트3,2020-05-04,MSFT,13.0
테스트3,2020-05-04,NVDA,185.0
테스트3,2020-06-01,AAPL,27.0
테스트3,2020-06-01,AMZN,5.0
테스트3,2020-06-01,MSFT,12.0
테스트3,2020-06-01,NVDA,176.0
테스트3,2020-07-01,AAPL,23.0
테스트3,2020-07-01,AMZN,5.0
테스트3,2020-07-01,MSFT,11.0
테스트3,2020-07-01,NVDA,153.0
테스트3,2020-08-03,AAPL,19.0
테스트3,2020-08-03,AMZN,4.0
테스트3,2020-08-03,MSFT,11.0
테스트3,2020-08-03,NVDA,123.0
테스트3,2020-09-01,AAPL,21.0
테스트3,2020-09-01,AMZN,5.0
테스트3,2020-09-01,MSFT,12.0
테스트3,2020-09-01,NVDA,124.0
테스트3,2020-10-05,AAPL,24.0
테스트3,2020-10-05,AMZN,5.0
테스트3,2020-10-05,MSFT,12.0
테스트3,2020-10-05,NVDA,138.0
테스트3,2020-11-02,AAPL,22.0
테스트3,2020-11-02,AMZN,5.0
테스트3,2020-11-02,MSFT,12.0
테스트3,2020-11-02,NVDA,134.0
테스트3,2020-12-01,AAPL,21.0
테스트3,2020-12-01,AMZN,5.0
테스트3,2020-12-01,MSFT,12.0
테스트3,2020-12-01,NVDA,140.0
테스트3,2021-01-04,AAPL,20.0
테스트3,2021-01-04,AMZN,5.0
테스트3,2021-01-04,MSFT,11.0
테스트3,2021-01-04,NVDA,135.0
테스트3,2021-02-01,AAPL,21.0
테스트3,2021-02-01,AMZN,5.0
테스트3,2021-02-01,MSFT,11.0
테스트3,2021-02-01,NVDA,134.0
테스트3,2021-03-02,AAPL,21.0
테스트3,2021-03-02,AMZN,5.0
테스트3,2021-03-02,MSFT,10.0
테스트3,2021-03-02,NVDA,128.0
테스트3,2021-04-01,AAPL,20.0
테스트3,2021-04-01,AMZN,5.0
테스트3,2021-04-01,MSFT,10.0
테스트3,2021-04-01,NVDA,120.0
테스트3,2021-05-03,AAPL,21.0
테스트3,2021-05-03,AMZN,5.0
테스트3,2021-05-03,MSFT,10.0
테스트3,2021-05-03,NVDA,110.0
테스트3,2021-06-01,AAPL,19.0
테스트3,2021-06-01,AMZN,5.0
테스트3,2021-06-01,MSFT,9.0
테스트3,2021-06-01,NVDA,88.0
테스트3,2021-07-01,AAPL,17.0
테스트3,2021-07-01,AMZN,5.0
테스트3,2021-07-01,MSFT,9.0
테스트3,2021-07-01,NVDA,88.0
테스트3,2021-08-02,AAPL,17.0
테스트3,2021-08-02,AMZN,4.0
테스트3,2021-08-02,MSFT,8.0
테스트3,2021-08-02,NVDA,77.0
테스트3,2021-09-01,AAPL,17.0
테스트3,2021-09-01,AMZN,5.0
테스트3,2021-09-01,MSFT,8.0
테스트3,2021-09-01,NVDA,80.0
테스트3,2021-10-01,AAPL,17.0
테스트3,2021-10-01,AMZN,5.0
테스트3,2021-10-01,MSFT,7.0
테스트3,2021-10-01,NVDA,66.0
테스트3,2021-11-01,AAPL,15.0
테스트3,2021-11-01,AMZN,4.0
테스트3,2021-11-01,MSFT,7.0
테스트3,2021-11-01,NVDA,54.0
테스트3,2021-12-01,AAPL,13.0
테스트3,2021-12-01,AMZN,4.0
테스트3,2021-12-01,MSFT,7.0
테스트3,2021-12-01,NVDA,56.0
테스트3,2022-01-04,AAPL,14.0
테스트3,2022-01-04,AMZN,5.0
테스트3,2022-01-04,MSFT,8.0
테스트3,2022-01-04,NVDA,68.0
테스트3,2022-02-03,AAPL,14.0
테스트3,2022-02-03,AMZN,5.0
테스트3,2022-02-03,MSFT,8.0
테스트3,2022-02-03,NVDA,68.0
테스트3,2022-03-02,AAPL,14.0
테스트3,2022-03-02,AMZN,5.0
테스트3,2022-03-02,MSFT,7.0
테스트3,2022-03-02,NVDA,61.0
테스트3,2022-04-01,AAPL,14.0
테스트3,2022-04-01,AMZN,6.0
테스트3,2022-04-01,MSFT,8.0
테스트3,2022-04-01,NVDA,80.0
테스트3,2022-05-02,AAPL,15.0
테스트3,2022-05-02,AMZN,6.0
테스트3,2022-05-02,MSFT,8.0
테스트3,2022-05-02,NVDA,81.0
테스트3,2022-06-02,AAPL,16.0
테스트3,2022-06-02,AMZN,7.0
테스트3,2022-06-02,MSFT,8.0
테스트3,2022-06-02,NVDA,105.0
테스트3,2022-07-01,AAPL,14.0
테스트3,2022-07-01,AMZN,5.0
테스트3,2022-07-01,MSFT,8.0
테스트3,2022-07-01,NVDA,84.0
테스트3,2022-08-01,AAPL,14.0
테스트3,2022-08-01,AMZN,5.0
테스트3,2022-08-01,MSFT,8.0
테스트3,2022-08-01,NVDA,106.0
테스트3,2022-09-01,AAPL,14.0
테스트3,2022-09-01,AMZN,5.0
테스트3,2022-09-01,MSFT,8.0
테스트3,2022-09-01,NVDA,105.0
테스트3,2022-10-04,AAPL,13.0
테스트3,2022-10-04,AMZN,7.0
테스트3,2022-10-04,MSFT,9.0
테스트3,2022-10-04,NVDA,103.0
테스트3,2022-11-01,AAPL,15.0
테스트3,2022-11-01,AMZN,8.0
테스트3,2022-11-01,MSFT,9.0
테스트3,2022-11-01,NVDA,90.0
테스트3,2022-12-01,AAPL,18.0
테스트3,2022-12-01,AMZN,9.0
테스트3,2022-12-01,MSFT,9.0
테스트3,2022-12-01,NVDA,107.0
테스트3,2023-01-02,AAPL,16.0
테스트3,2023-01-02,AMZN,7.0
테스트3,2023-01-02,MSFT,9.0
테스트3,2023-01-02,NVDA,78.0
테스트3,2023-02-01,AAPL,15.0
테스트3,2023-02-01,AMZN,8.0
테스트3,2023-02-01,MSFT,9.0
테스트3,2023-02-01,NVDA,65.0
테스트3,2023-03-02,AAPL,13.0
테스트3,2023-03-02,AMZN,7.0
테스트3,2023-03-02,MSFT,8.0
테스트3,2023-03-02,NVDA,55.0
테스트3,2023-04-03,AAPL,13.0
테스트3,2023-04-03,AMZN,7.0
테스트3,2023-04-03,MSFT,7.0
테스트3,2023-04-03,NVDA,52.0
테스트3,2023-05-02,AAPL,12.0
테스트3,2023-05-02,AMZN,6.0
테스트3,2023-05-02,MSFT,6.0
테스트3,2023-05-02,NVDA,38.0
테스트3,2023-06-01,AAPL,11.0
테스트3,2023-06-01,AMZN,5.0
테스트3,2023-06-01,MSFT,6.0
테스트3,2023-06-01,NVDA,35.0
테스트3,2023-07-03,AAPL,11.0
테스트3,2023-07-03,AMZN,5.0
테스트3,2023-07-03,MSFT,6.0
테스트3,2023-07-03,NVDA,33.0
테스트3,2023-08-01,AAPL,11.0
테스트3,2023-08-01,AMZN,5.0
테스트3,2023-08-01,MSFT,6.0
테스트3,2023-08-01,NVDA,30.0
테스트3,2023-09-01,AAPL,12.0
테스트3,2023-09-01,AMZN,5.0
테스트3,2023-09-01,MSFT,6.0
테스트3,2023-09-01,NVDA,33.0
테스트3,2023-10-04,AAPL,12.0
테스트3,2023-10-04,AMZN,5.0
테스트3,2023-10-04,MSFT,6.0
테스트3,2023-10-04,NVDA,34.0
테스트3,2023-11-01,AAPL,12.0
테스트3,2023-11-01,AMZN,5.0
테스트3,2023-11-01,MSFT,6.0
테스트3,2023-11-01,NVDA,32.0
테스트3,2023-12-01,AAPL,12.0
테스트3,2023-12-01,AMZN,5.0
테스트3,2023-12-01,MSFT,6.0
테스트3,2023-12-01,NVDA,32.0
테스트3,2024-01-02,AAPL,12.0
테스트3,2024-01-02,AMZN,4.0
테스트3,2024-01-02,MSFT,5.0
테스트3,2024-01-02,NVDA,24.0
테스트3,2024-02-01,AAPL,12.0
테스트3,2024-02-01,AMZN,4.0
테스트3,2024-02-01,MSFT,5.0
테스트3,2024-02-01,NVDA,17.0
테스트3,2024-03-04,AAPL,13.0
테스트3,2024-03-04,AMZN,4.0
테스트3,2024-03-04,MSFT,5.0
테스트3,2024-03-04,NVDA,16.0
테스트3,2024-04-01,AAPL,12.0
테스트3,2024-04-01,AMZN,3.0
테스트3,2024-04-01,MSFT,5.0
테스트3,2024-04-01,NVDA,16.0
테스트3,2024-05-02,AAPL,11.0
테스트3,2024-05-02,AMZN,4.0
테스트3,2024-05-02,MSFT,5.0
테스트3,2024-05-02,NVDA,12.0
테스트3,2024-06-03,AAPL,10.0
테스트3,2024-06-03,AMZN,3.0
테스트3,2024-06-03,MSFT,4.0
테스트3,2024-06-03,NVDA,11.0
테스트3,2024-07-01,AAPL,9.0
테스트3,2024-07-01,AMZN,3.0
테스트3,2024-07-01,MSFT,5.0
테스트3,2024-07-01,NVDA,13.0
테스트3,2024-08-01,AAPL,9.0
테스트3,2024-08-01,AMZN,4.0
테스트3,2024-08-01,MSFT,5.0
테스트3,2024-08-01,NVDA,12.0
테스트3,2024-09-02,AAPL,9.0
테스트3,2024-09-02,AMZN,4.0
테스트3,2024-09-02,MSFT,5.0
테스트3,2024-09-02,NVDA,12.0
테스트3,2024-10-02,AAPL,9.0
테스트3,2024-10-02,AMZN,3.0
테스트3,2024-10-02,MSFT,5.0
테스트3,2024-10-02,NVDA,10.0
테스트3,2024-11-01,AAPL,8.0
테스트3,2024-11-01,AMZN,3.0
테스트3,2024-11-01,MSFT,4.0
테스트3,2024-11-01,NVDA,10.0
