Date,Open,High,Low,Close,Volume
2022-01-27,597000.0,598000.0,450000.0,505000.0,15946992
2022-01-28,476000.0,483000.0,445000.0,450000.0,4559773
2022-02-03,458000.0,495500.0,441000.0,477000.0,2918435
2022-02-04,476500.0,505000.0,476000.0,504000.0,2088996
2022-02-07,520000.0,548000.0,511000.0,548000.0,1911176
2022-02-08,548000.0,548000.0,548000.0,548000.0,0
2022-02-09,550000.0,557000.0,505000.0,511000.0,2070704
2022-02-10,507000.0,507000.0,471500.0,474500.0,2306815
2022-02-11,463500.0,484000.0,457000.0,482000.0,1411055
2022-02-14,473000.0,482000.0,459500.0,463000.0,3285402
2022-02-15,460000.0,468000.0,450000.0,451500.0,825406
2022-02-16,464000.0,465000.0,449500.0,455500.0,961669
2022-02-17,454500.0,460000.0,447000.0,454500.0,711183
2022-02-18,448500.0,454500.0,448000.0,454500.0,418728
2022-02-21,450000.0,453000.0,447500.0,453000.0,327509
2022-02-22,444500.0,448000.0,440000.0,440000.0,557179
2022-02-23,440000.0,440000.0,440000.0,440000.0,0
2022-02-24,435000.0,438000.0,416000.0,416500.0,883314
2022-02-25,425000.0,430000.0,418500.0,420000.0,465140
2022-02-28,420000.0,420000.0,420000.0,420000.0,0
2022-03-02,411000.0,434500.0,408500.0,434000.0,895460
2022-03-03,439500.0,441000.0,430000.0,437000.0,460544
2022-03-04,433500.0,436500.0,427000.0,428500.0,310930
2022-03-07,420500.0,421000.0,412000.0,414000.0,370588
2022-03-08,406000.0,417000.0,402500.0,410500.0,393413
2022-03-10,410500.0,410500.0,410500.0,410500.0,0
2022-03-11,411500.0,412000.0,390500.0,391000.0,1811373
2022-03-14,385000.0,385500.0,361500.0,363500.0,1999479
2022-03-15,363000.0,370000.0,355000.0,359500.0,1064506
2022-03-16,359500.0,359500.0,359500.0,359500.0,0
2022-03-17,374000.0,381500.0,373000.0,376000.0,816118
2022-03-18,377500.0,384000.0,370500.0,382000.0,643915
2022-03-21,382000.0,382000.0,382000.0,382000.0,0
2022-03-22,388500.0,399000.0,388000.0,397500.0,413972
2022-03-23,403000.0,407500.0,398000.0,407000.0,523438
2022-03-24,405000.0,410000.0,398000.0,408000.0,320746
2022-03-25,418500.0,444000.0,417500.0,439000.0,1528600
2022-03-28,439000.0,439000.0,439000.0,439000.0,0
2022-03-29,443000.0,448500.0,440500.0,441000.0,375894
2022-03-30,444500.0,445000.0,427000.0,440500.0,440195
2022-03-31,437000.0,444000.0,435000.0,442000.0,272318
2022-04-01,438500.0,439500.0,425000.0,428000.0,456080
2022-04-04,422000.0,440500.0,417500.0,438500.0,362727
2022-04-05,442500.0,450000.0,437000.0,449000.0,491410
2022-04-06,436000.0,448500.0,436000.0,444500.0,415524
2022-04-07,438000.0,442000.0,431000.0,436500.0,316409
2022-04-08,449000.0,449000.0,437500.0,439500.0,395489
2022-04-11,435000.0,435500.0,423500.0,425000.0,289205
2022-04-12,417000.0,421500.0,410000.0,411000.0,382240
2022-04-13,414000.0,431500.0,404000.0,431000.0,386194
2022-04-14,434000.0,441000.0,427500.0,441000.0,321259
2022-04-15,435500.0,445000.0,431500.0,435000.0,307347
2022-04-18,434000.0,439500.0,432500.0,433000.0,115652
2022-04-19,438000.0,441500.0,434000.0,435500.0,124432
2022-04-20,437500.0,438000.0,432000.0,436500.0,202657
2022-04-21,437500.0,440000.0,434500.0,437000.0,234128
2022-04-22,434000.0,437500.0,428500.0,436500.0,266806
2022-04-25,430000.0,436000.0,428500.0,433000.0,254452
2022-04-26,432000.0,432000.0,414500.0,423500.0,520529
2022-04-27,399500.0,427000.0,397000.0,418000.0,1478354
