Symbol,Name,sector,industry
005930,삼성전자,Technology,Consumer Electronics
000660,SK하이닉스,Technology,Semiconductors
373220,LG에너지솔루션,Industrials,Electrical Equipment & Parts
207940,삼성바이오로직스,Healthcare,Biotechnology
005380,현대차,Consumer Cyclical,Auto Manufacturers
105560,KB금융,Financial Services,Banks - Regional
068270,셀트리온,Healthcare,Biotechnology
000270,기아,Consumer Cyclical,Auto Manufacturers
035420,NAVER,Communication Services,Internet Content & Information
055550,신한지주,Financial Services,Banks - Regional
005490,POSCO홀딩스,Basic Materials,Steel
012330,현대모비스,Consumer Cyclical,Auto Parts
028260,삼성물산,Industrials,Engineering & Construction
032830,삼성생명,Financial Services,Insurance - Life
051910,LG화학,Basic Materials,Chemicals
010130,고려아연,Basic Materials,Other Industrial Metals & Mining
329180,HD현대중공업,Industrials,Aerospace & Defense
138040,메리츠금융지주,Financial Services,Asset Management
086790,하나금융지주,Financial Services,Banks - Regional
006400,삼성SDI,Industrials,Electrical Equipment & Parts
000810,삼성화재,Financial Services,Insurance - Property & Casualty
096770,SK이노베이션,Energy,Oil & Gas Refining & Marketing
035720,카카오,Communication Services,Internet Content & Information
011200,HMM,Industrials,Marine Shipping
015760,한국전력,Utilities,Utilities - Regulated Electric
033780,KT&G,Consumer Defensive,Tobacco
066570,LG전자,Technology,Consumer Electronics
009540,HD한국조선해양,Industrials,Aerospace & Defense
259960,크래프톤,Communication Services,Electronic Gaming & Multimedia
012450,한화에어로스페이스,Industrials,Aerospace & Defense
003670,포스코퓨처엠,Basic Materials,Building Materials
034020,두산에너빌리티,Industrials,Specialty Industrial Machinery
017670,SK텔레콤,Communication Services,Telecom Services
267260,HD현대일렉트릭,Industrials,Electrical Equipment & Parts
316140,우리금융지주,Financial Services,Banks - Regional
003550,LG,Technology,Consumer Electronics
030200,KT,Communication Services,Telecom Services
024110,기업은행,Financial Services,Banks - Regional
018260,삼성에스디에스,Technology,Information Technology Services
042660,한화오션,Industrials,Aerospace & Defense
402340,SK스퀘어,Technology,Semiconductors
323410,카카오뱅크,Financial Services,Banks - Regional
010140,삼성중공업,Industrials,Aerospace & Defense
034730,SK,Industrials,Conglomerates
086280,현대글로비스,Industrials,Integrated Freight & Logistics
003490,대한항공,Industrials,Airlines
000100,유한양행,Healthcare,Drug Manufacturers - Specialty & Generic
047050,포스코인터내셔널,Industrials,Conglomerates
352820,하이브,Communication Services,Entertainment
009150,삼성전기,Technology,Electronic Components
326030,SK바이오팜,Healthcare,Biotechnology
005830,DB손해보험,Financial Services,Insurance - Property & Casualty
042700,한미반도체,Technology,Semiconductor Equipment & Materials
010950,S-Oil,Energy,Oil & Gas Refining & Marketing
450080,에코프로머티,Unknown,Unknown
267250,HD현대,Energy,Oil & Gas Refining & Marketing
090430,아모레퍼시픽,Consumer Defensive,Household & Personal Products
047810,한국항공우주,Industrials,Aerospace & Defense
064350,현대로템,Industrials,Railroads
032640,LG유플러스,Communication Services,Telecom Services
180640,한진칼,Consumer Cyclical,Lodging
051900,LG생활건강,Consumer Defensive,Household & Personal Products
021240,코웨이,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
010620,HD현대미포,Industrials,Marine Shipping
006800,미래에셋증권,Financial Services,Capital Markets
161390,한국타이어앤테크놀로지,Consumer Cyclical,Auto Parts
036570,엔씨소프트,Communication Services,Electronic Gaming & Multimedia
034220,LG디스플레이,Technology,Consumer Electronics
029780,삼성카드,Financial Services,Credit Services
272210,한화시스템,Industrials,Aerospace & Defense
010120,LS ELECTRIC,Industrials,Electrical Equipment & Parts
454910,두산로보틱스,Industrials,Specialty Industrial Machinery
079550,LIG넥스원,Industrials,Aerospace & Defense
