Name,Symbol,Sector,Industry
Activision Blizzard,ATVI,Unknown,Unknown
Adobe Inc.,ADBE,Technology,Software - Infrastructure
ADP,ADP,Technology,Software - Application
Airbnb,ABNB,Consumer Cyclical,Travel Services
Align Technology,ALGN,Healthcare,Medical Instruments & Supplies
Alphabet Inc.?Class A),GOOGL,Communication Services,Internet Content & Information
Alphabet Inc.?Class C),GOOG,Communication Services,Internet Content & Information
Amazon,AMZN,Consumer Cyclical,Internet Retail
Advanced Micro Devices Inc.,AMD,Technology,Semiconductors
American Electric Power,AEP,Utilities,Utilities - Regulated Electric
Amgen,AMGN,Healthcare,Drug Manufacturers - General
Analog Devices,ADI,Technology,Semiconductors
Ansys,ANSS,Technology,Software - Application
Apple Inc.,AAPL,Technology,Consumer Electronics
Applied Materials,AMAT,Technology,Semiconductor Equipment & Materials
ASML Holding,ASML,Technology,Semiconductor Equipment & Materials
AstraZeneca,AZN,Healthcare,Drug Manufacturers - General
Atlassian,TEAM,Technology,Software - Application
Autodesk,ADSK,Technology,Software - Application
Baker Hughes,BKR,Energy,Oil & Gas Equipment & Services
Biogen,BIIB,Healthcare,Drug Manufacturers - General
Booking Holdings,BKNG,Consumer Cyclical,Travel Services
Broadcom Inc.,AVGO,Technology,Semiconductors
Cadence Design Systems,CDNS,Technology,Software - Application
Charter Communications,CHTR,Communication Services,Telecom Services
Cintas,CTAS,Industrials,Specialty Business Services
Cisco,CSCO,Technology,Communication Equipment
Cognizant,CTSH,Technology,Information Technology Services
Comcast,CMCSA,Communication Services,Telecom Services
Constellation Energy,CEG,Utilities,Utilities - Renewable
Copart,CPRT,Industrials,Specialty Business Services
CoStar Group,CSGP,Real Estate,Real Estate Services
Costco,COST,Consumer Defensive,Discount Stores
CrowdStrike,CRWD,Technology,Software - Infrastructure
CSX Corporation,CSX,Industrials,Railroads
Datadog,DDOG,Technology,Software - Application
DexCom,DXCM,Healthcare,Medical Devices
Diamondback Energy,FANG,Energy,Oil & Gas E&P
Dollar Tree,DLTR,Consumer Defensive,Discount Stores
eBay,EBAY,Consumer Cyclical,Internet Retail
Electronic Arts,EA,Communication Services,Electronic Gaming & Multimedia
Enphase Energy,ENPH,Technology,Solar
Exelon,EXC,Utilities,Utilities - Regulated Electric
Fastenal,FAST,Industrials,Industrial Distribution
Fiserv,FISV,Unknown,Unknown
Fortinet,FTNT,Technology,Software - Infrastructure
Gilead Sciences,GILD,Healthcare,Drug Manufacturers - General
GlobalFoundries,GFS,Technology,Semiconductors
Honeywell,HON,Industrials,Conglomerates
Idexx Laboratories,IDXX,Healthcare,Diagnostics & Research
"Illumina, Inc.",ILMN,Healthcare,Diagnostics & Research
Intel,INTC,Technology,Semiconductors
Intuit,INTU,Technology,Software - Application
Intuitive Surgical,ISRG,Healthcare,Medical Instruments & Supplies
JD.com,JD,Consumer Cyclical,Internet Retail
Keurig Dr Pepper,KDP,Consumer Defensive,Beverages - Non-Alcoholic
KLA Corporation,KLAC,Technology,Semiconductor Equipment & Materials
Kraft Heinz,KHC,Consumer Defensive,Packaged Foods
Lam Research,LRCX,Technology,Semiconductor Equipment & Materials
Lucid Motors,LCID,Consumer Cyclical,Auto Manufacturers
Lululemon,LULU,Consumer Cyclical,Apparel Retail
Marriott International,MAR,Consumer Cyclical,Lodging
Marvell Technology,MRVL,Technology,Semiconductors
MercadoLibre,MELI,Consumer Cyclical,Internet Retail
Meta Platforms,META,Communication Services,Internet Content & Information
Microchip Technology,MCHP,Technology,Semiconductors
Micron Technology,MU,Technology,Semiconductors
Microsoft,MSFT,Technology,Software - Infrastructure
Moderna,MRNA,Healthcare,Biotechnology
Mondel?z International,MDLZ,Consumer Defensive,Confectioners
Monster Beverage,MNST,Consumer Defensive,Beverages - Non-Alcoholic
Netflix,NFLX,Communication Services,Entertainment
Nvidia,NVDA,Technology,Semiconductors
NXP,NXPI,Technology,Semiconductors
O'Reilly Automotive,ORLY,Consumer Cyclical,Specialty Retail
Old Dominion Freight Line,ODFL,Industrials,Trucking
Paccar,PCAR,Industrials,Farm & Heavy Construction Machinery
Palo Alto Networks,PANW,Technology,Software - Infrastructure
Paychex,PAYX,Technology,Software - Application
PayPal,PYPL,Financial Services,Credit Services
PDD Holdings,PDD,Consumer Cyclical,Internet Retail
PepsiCo,PEP,Consumer Defensive,Beverages - Non-Alcoholic
Qualcomm,QCOM,Technology,Semiconductors
Regeneron,REGN,Healthcare,Biotechnology
Rivian,RIVN,Consumer Cyclical,Auto Manufacturers
Ross Stores,ROST,Consumer Cyclical,Apparel Retail
Seagen,SGEN,Unknown,Unknown
Sirius XM,SIRI,Communication Services,Entertainment
Starbucks,SBUX,Consumer Cyclical,Restaurants
Synopsys,SNPS,Technology,Software - Infrastructure
T-Mobile US,TMUS,Communication Services,Telecom Services
"Tesla, Inc.",TSLA,Consumer Cyclical,Auto Manufacturers
Texas Instruments,TXN,Technology,Semiconductors
Verisk,VRSK,Industrials,Consulting Services
Vertex Pharmaceuticals,VRTX,Healthcare,Biotechnology
Walgreens Boots Alliance,WBA,Healthcare,Pharmaceutical Retailers
Warner Bros. Discovery,WBD,Communication Services,Entertainment
"Workday, Inc.",WDAY,Technology,Software - Application
Xcel Energy,XEL,Utilities,Utilities - Regulated Electric
Zoom Video Communications,ZM,Technology,Software - Application
Zscaler,ZS,Technology,Software - Infrastructure
