Unnamed: 0,Symbol,Name,Sector,Industry
0,MMM,3M,Industrials,Conglomerates
1,AOS,A. O. Smith,Industrials,Specialty Industrial Machinery
2,ABT,Abbott Laboratories,Healthcare,Medical Devices
3,ABBV,AbbVie,Healthcare,Drug Manufacturers - General
4,ACN,Accenture,Technology,Information Technology Services
5,ADBE,Adobe Inc.,Technology,Software - Infrastructure
6,AMD,Advanced Micro Devices,Technology,Semiconductors
7,AES,AES Corporation,Utilities,Utilities - Diversified
8,AFL,Aflac,Financial Services,Insurance - Life
9,A,Agilent Technologies,Healthcare,Diagnostics & Research
10,APD,Air Products,Basic Materials,Specialty Chemicals
11,ABNB,Airbnb,Consumer Cyclical,Travel Services
12,AKAM,Akamai Technologies,Technology,Software - Infrastructure
13,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
14,ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office
15,ALGN,Align Technology,Healthcare,Medical Instruments & Supplies
16,ALLE,Allegion,Industrials,Security & Protection Services
17,LNT,Alliant Energy,Utilities,Utilities - Regulated Electric
18,ALL,Allstate,Financial Services,Insurance - Property & Casualty
19,GOOGL,Alphabet Inc. (Class A),Communication Services,Internet Content & Information
20,GOOG,Alphabet Inc. (Class C),Communication Services,Internet Content & Information
21,MO,Altria,Consumer Defensive,Tobacco
22,AMZN,Amazon,Consumer Cyclical,Internet Retail
23,AMCR,Amcor,Consumer Cyclical,Packaging & Containers
24,AMTM,Amentum,Industrials,Specialty Business Services
25,AEE,Ameren,Utilities,Utilities - Regulated Electric
26,AEP,American Electric Power,Utilities,Utilities - Regulated Electric
27,AXP,American Express,Financial Services,Credit Services
28,AIG,American International Group,Financial Services,Insurance - Diversified
29,AMT,American Tower,Real Estate,REIT - Specialty
30,AWK,American Water Works,Utilities,Utilities - Regulated Water
31,AMP,Ameriprise Financial,Financial Services,Asset Management
32,AME,Ametek,Industrials,Specialty Industrial Machinery
33,AMGN,Amgen,Healthcare,Drug Manufacturers - General
34,APH,Amphenol,Technology,Electronic Components
35,ADI,Analog Devices,Technology,Semiconductors
36,ANSS,Ansys,Technology,Software - Application
37,AON,Aon,Financial Services,Insurance Brokers
38,APA,APA Corporation,Energy,Oil & Gas E&P
39,AAPL,Apple Inc.,Technology,Consumer Electronics
40,AMAT,Applied Materials,Technology,Semiconductor Equipment & Materials
41,APTV,Aptiv,Consumer Cyclical,Auto Parts
42,ACGL,Arch Capital Group,Financial Services,Insurance - Diversified
43,ADM,Archer Daniels Midland,Consumer Defensive,Farm Products
44,ANET,Arista Networks,Technology,Computer Hardware
45,AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers
46,AIZ,Assurant,Financial Services,Insurance - Property & Casualty
47,T,AT&T,Communication Services,Telecom Services
48,ATO,Atmos Energy,Utilities,Utilities - Regulated Gas
49,ADSK,Autodesk,Technology,Software - Application
50,ADP,Automatic Data Processing,Technology,Software - Application
